Name,Quantity,Real_Quantity,Wood,Stone,Metal,Requirements,Demand,Text,Tier,Card_type,building_category,only_print,no_print,no_print_reason,Qty_4_players,Qty_3_players,Qty_2_players
,,,,,,,,,,,,,,,,,
Irrigation ditches,2,4,1,1,,educated,,provides irrigation (passive),3,,water,,,,4,3,2
,,,,,,,,place under one agricultural location - affects only that location,,,,,,,,,
,,,,,,,,spring: +2 grain (tools +3 grain) planted on Farm (passive),,,,,,,,,
,,,,,,,,spring: +1 vegetable (tools +2 vegetables) planted on Vegetable Field (passive),,,,,,,,,
,,,,,,,,spring: +2 fruit added to Orchard (passive),,,,,,,,,
Water Tower,2,4,2,,,educated,,provides water access when used,2,,water,,,,2,2,2
,,,,,,,,population immune to hot weather when used. No doubling up required on Water Tower.,,,,,,,,,
,,,,,,,,"with irrigation, food locations immune to drought when used",,,,,,,,,
Resevoir,1,1,2,1,1,educated,,provides water access (passive),3,,water,,,,1,1,1
,,,,,,,,population immune to hot/sweltering weather (passive),,,,,,,,,
,,,,,,,,"with irrigation, food locations immune to drought (passive)",,,,,,,,,
,,,,,,,,must own/replaces Water Tower,,,,,,,,,
,,,,,,,,,,,,,,,,,
Resource Market,1,2,1,,,,"1 wood, 1 stone, 1 metal",a visitor may purchase 1 stored good when used,2,,trade,,,,2,2,1
,,,,,,,,stored goods have increased value (+1 Prosperity),,,,,,,,,
Consumer Market,1,2,1,,,,"1 kindling, 1 clothing, 1 bread",a visitor may purchase 1 stored good when used,2,,trade,,,,2,2,1
,,,,,,,,stored goods have increased value (+1 Prosperity),,,,,,,,,
Agricultural Market,1,2,1,,,,"1 tool, 1 grain",a visitor may purchase 1 stored good when used,2,,trade,,,,2,2,1
,,,,,,,,stored goods have increased value (+1 Prosperity),,,,,,,,,
Food Market,,,,,,,,,,,,,,,,,
Marketplace,1,2,2,,,educated,"1 wood, 1 stone, 1 metal, 1 kindling, 1 clothing, 1 bread, 1 grain, 1 tool, 1 jewelry",a visitor may purchase 1 stored good when used,3,,trade,,,,2,1,1
,,,,,,,,replaces previous Market buildings if owned,,,,,,,,,
,,,,,,,,stored goods have increased value (+1 Prosperity),,,,,,,,,
Caravansary,2,4,1,,,,,use up to 2 caravans on markets when used,2,,trade,,,,4,3,2
,,,,,,,,caravans can purchase up to 3 goods at reduced value (-1 Prosperity to seller),,,,,,,,,
Trade Pier,1,2,2,,1,educated,,use up to 3 ships on markets when used,3,,trade,,,,2,2,1
,,,,,,,,ships can purchase up to 5 goods at reduced value (-1 Prosperity to seller),,,,,,,,,
,,,,,,,,,,,,,,,,,
Fairground,1,1,2,,1,,,spring: Set up Fair when used. Add 1 Prosperity token. Owner only.,3,,entertainment,,,,,,
,,,,,,,,"summer: If Fair is set up, attend Fair for +4 Prosperity when used",,,,,,,,,
,,,,,,,,autumn: remove Prosperity token (passive),,,,,,,,,
,,,,,,,,+2 Prosperity per visitor use,,,,,,,,,
,,,,,,,,supports any number of population,,,,,,,,,
,,,,,,,,,,,,,,,,,
Winery,1,1,2,1,,educated,1 fruit,"winter, educated: (fruit) Add 5 \wine wine to Winery when used",3,,luxury,,,,1,1,1
,,,,,,,,summer: Collect all wine on Winery (passive),,,,,,,,,
,,,,,,,,wine valued at 4 Prosperity,,,,,,,,,
,,,,,,,,Upgrades to Large Winery,,,,,,,,,
Large Winery,1,1,4,1,1,educated,2 fruit,"winter, educated: (fruitfruit) Add 10 \wine wine to Large Winery when used",4,,luxury,,,,1,1,1
,,,,,,,,summer: Collect all wine on Large Winery (passive),,,,,,,,,
,,,,,,,,wine valued at 4 Prosperity,,,,,,,,,
,,,,,,,,must own/replaces Winery,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jeweler,1,1,1,1,1,educated,1 metal + 1 stone,"educated, tools: (metalstone) +4 \jewelry jewelry",3,,luxury,,,,1,1,1
,,,,,,,,jewelry valued at 3 Prosperity,,,,,,,,,
,,,,,,,,Upgrades to Master Jeweler,,,,,,,,,
,,,,,,,,discard only 1 per turn when consumed,,,,,,,,,
Master Jeweler,1,1,2,1,2,educated,2 metal + 1 stone,"educated, tools: (metalmetalstone) +8 \jewelry jewelry when used",4,,luxury,,,,1,1,1
,,,,,,,,must own/replaces Jeweler,,,,,,,,,
,,,,,,,,jewelry valued at 3 Prosperity,,,,,,,,,
,,,,,,,,discard only 1 per turn when consumed,,,,,,,,,
,,,,,,,,,,,,,,,,,
Creamery,1,1,1,1,1,educated,1 milk,educated: (milk) +4 \cream cream when used,3,,luxury,,,,1,1,1
,,,,,,,,cream valued at 3 Prosperity,,,,,,,,,
,,,,,,,,upgrades to Large Creamery,,,,,,,,,
Large Creamery,1,1,3,2,1,educated,2 milk,educated: (milkmilk) +8 \cream cream when used,4,,luxury,,,,1,1,1
,,,,,,,,cream valued at 3 Prosperity,,,,,,,,,
,,,,,,,,must own/replaces Creamery,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dessert Shoppe,1,1,1,1,,educated,3 bread,educated: (breadbreadbread) +4 \pastries pastries when used,3,,luxury,,,,1,1,1
,,,,,,,,pastries valued at 3 Prosperity,,,,,,,,,
,,,,,,,,Upgrades to Master Pastry Chef,,,,,,,,,
Master Pastry Chef,1,1,3,2,,educated,4 bread,educated: (breadbreadbreadbread) +8 \pastries pastries when used,4,,luxury,,,,1,1,1
,,,,,,,,pastries valued at 3 Prosperity,,,,,,,,,
,,,,,,,,must own/replaces Dessert Shoppe,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mild First Year,4,4,,,,,,"In the first year of your village life, the weather is perfect.",,town,,,,,,,
,,,,,,,,summer: weather becomes mild,,,,,,,,,
,,,,,,,,winter: weather becomes mild,,,,,,,,,
,,,,,,,,Remove from play.,,,,,,,,,
Nothing happens,3,3,,,,,,Village life as usual.,,town,,,,,,,
,,,,,,,,Reshuffle the Town deck next turn,,,,,,,,,
County Fair,1,1,,,,,,Residents from all over the county flock to town for the fair.,,town,,,,,,,
,,,,,,,,+1 Prosperity per sold good this turn,,,,,,,,,
Blight,1,1,,,,,,Grain crops are devastated as a blight spreads over the farms in the region.,,town,,,,,,,
,,,,,,,,spring: Plant 50% less grain on Farms,,,,,,,,,
,,,,,,,,"summer, autumn: remove 50% of grain from Farms.",,,,,,,,,
Harsh weather,2,2,,,,,,The current season is harsh and you struggle to survive.,,town,,,,,,,
,,,,,,,,spring: weather becomes Hot (one worker doubles up),,,,,,,,,
,,,,,,,,summer: Hot weather becomes Sweltering: all tasks require 2 population to complete,,,,,,,,,
,,,,,,,,autumn: weather becomes Cold (clothing required),,,,,,,,,
,,,,,,,,winter: Cold weather becomes Frigid: housing supports one fewer population,,,,,,,,,
Mild weather,2,2,,,,,,The current season is mild and you take advantage of the weather.,,town,,,,,,,
,,,,,,,,summer: weather becomes mild,,,,,,,,,
,,,,,,,,winter: weather becomes mild,,,,,,,,,
Drought,1,1,,,,,,The riverbeds become cracked and dry. Water is scarce this season.,,town,,,,,,,
,,,,,,,,Negate all bonuses from irrigation without water access,,,,,,,,,
,,,,,,,,spring: 50% fewer trees planted,,,,,,,,,
,,,,,,,,spring: 50% less grain planted,,,,,,,,,
,,,,,,,,spring: 50% fewer vegetables planted,,,,,,,,,
,,,,,,,,summer: remove 50% of fruit on Orchards,,,,,,,,,
,,,,,,,,summer: remove 50% of planted grain,,,,,,,,,
,,,,,,,,summer: remove 50% of planted vegetables,,,,,,,,,
,,,,,,,,,,,,,,,,,
Fire,0,0,,,,,,"A wildfire rages, destroying everything it in its path.",,town,,,,,,,
,,,,,,,,"summer: without improved access to water, lose all Farms",,,,,,,,,
,,,,,,,,"summer: without improved access to water, lose all Orchards",,,,,,,,,
Disease,0,0,,,,,,An outbreak of a particularly nasty disease in town spreads to those villages that are unprepared.,,town,,,,,,,
,,,,,,,,Any starving village gets 1 diseased population,,,,,,,,,
,,,,,,,,Any village without a Physician gets 1 diseased population,,,,,,,,,
,,,,,,,,,,,,,,,,,
Town Demand,1,1,,,,,"1 wood, 1 stone, 1 metal, 1 kindling, 1 clothing, 1 bread, 1 grain, 1 tool, 1 jewelry, 1 wine, 1 cream, 1 pastry",Remove goods after every trade phase,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Legend,2,2,,,,,,Seasons,,reference,,,,,,,
,,,,,,,,spring \spring,,,,,,,,,
,,,,,,,,summer \summer,,,,,,,,,
,,,,,,,,autumn \autumn,,,,,,,,,
,,,,,,,,winter \winter,,,,,,,,,
,,,,,,,,Resources,,,,,,,,,
,,,,,,,,wood \wood,,,,,,,,,
,,,,,,,,stone \stone,,,,,,,,,
,,,,,,,,metal \metal,,,,,,,,,
,,,,,,,,Goods,,,,,,,,,
,,,,,,,,kindling fire\wood,,,,,,,,,
,,,,,,,,tools \tools,,,,,,,,,
,,,,,,,,clothing \clothing,,,,,,,,,
,,,,,,,,wool \wool,,,,,,,,,
,,,,,,,,grain \grain,,,,,,,,,
,,,,,,,,Luxury Goods,,,,,,,,,
,,,,,,,,jewelry \jewelry,,,,,,,,,
,,,,,,,,cream \cream,,,,,,,,,
,,,,,,,,wine \wine,,,,,,,,,
,,,,,,,,pastry \pastry,,,,,,,,,
,,,,,,,,Food,,,,,,,,,
,,,,,,,,bread \bread,,,,,,,,,
,,,,,,,,fruit \fruit,,,,,,,,,
,,,,,,,,vegetable \vegetable,,,,,,,,,
,,,,,,,,meat \meat,,,,,,,,,
,,,,,,,,fish \fish,,,,,,,,,
,,,,,,,,milk \milk,,,,,,,,,
,,,,,,,,Animals,,,,,,,,,
,,,,,,,,sheep \sheep,,,,,,,,,
,,,,,,,,pig \pig,,,,,,,,,
,,,,,,,,cow \cow,,,,,,,,,
,,,,,,,,Other symbols,,,,,,,,,
,,,,,,,,active \active,,,,,,,,,
,,,,,,,,passive \passive,,,,,,,,,
,,,,,,,,Prosperity \Prosperity,,,,,,,,,
,,,,,,,,educated \educated,,,,,,,,,
,,,,,,,,tree \tree,,,,,,,,,
,,,,,,,,,,,,,,,,,
Prosperity Points,1,1,,,,,,"10, 0, 25, 45, 70, 100",,score,,,,,,,
